TABLE_CD;COLUMN_CD;CODE_CD;NAME_CHAR;LOOKUP_BLOB;UPDATE_DATE;DOWNLOAD_DATE;IMPORT_DATE;SOURCESYSTEM_CD;UPLOAD_ID
VISIT_DIMENSION;LOCATION_CD;e5e26f46-f3af-4d80-92c6-cbcbda8a96ee;PRIVATE ADRESS;;;;2023-01-06 15:27:45;;
CONCEPT_DIMENSION;VALTYPE_CD;D;Datum;Codierung für Datum: YYYY-MM-DD;;;2023-01-06 15:27:45;;
CONCEPT_DIMENSION;VALTYPE_CD;S;Selection;Codierung für eine Auswahl,  typischerweise werden Antworten angezeigt die im CONCEPT_PATH angehängt sind;;;2023-01-06 15:27:45;;
CONCEPT_DIMENSION;VALTYPE_CD;N;Zahl;Codierung für eine Zahl;;;2023-01-06 15:27:45;;
CONCEPT_DIMENSION;VALTYPE_CD;F;Finding (yes, no, unknown);Codierung für Vorhandensein eines klinischen Merkmals;;;2023-01-06 15:27:45;;
SCHEME_CD;SCHEME_CD;mci_precog;Studie MCI Prediktion / KI, @AS;{'title':'mci_precog','description':'Erfassung longitudinaler Daten von Patienten MCI / Demenz, verantwortlich: Brodoehl / Schweinar','data':[{'CONCEPT_CD':'LID: 63900-5'},{'CONCEPT_CD':'LID: 46463-6'},{'MODIFIER_CD':'SCTID: 447634004','multiselection':true,'selection':[{'CONCEPT_CD':'ICD10: F06.7'},{'CONCEPT_CD':'ICD10: I11.0'}]}]};2023-05-16 17:58:29;2023-05-16 17:58:29;2023-01-06 15:27:45;;
SCHEME_CD;SCHEME_CD;Stroke_DB;Übersicht Strokebrief;{'title':'Stroke_DB','description':'Übersicht Strokebrief','data':[{'CONCEPT_CD':'SCTID: 866144008'},{'CONCEPT_CD':'SCTID: 184107009'},{'CONCEPT_CD':'SCTID: 184099003'},{'CONCEPT_CD':'LID: 80904-6'},{'CONCEPT_CD':'SCTID: 263495000'},{'CONCEPT_CD':'SCTID: 184102003'},{'CONCEPT_CD':'SCTID: 433178008'},{'CONCEPT_CD':'CUSTOM: STROKE_DATE'},{'CONCEPT_CD':'SCTID: 277267003'},{'CONCEPT_CD':'SCTID: 89100005'},{'CONCEPT_CD':'CUSTOM: STROKE_DIAGNOSE_TEXT'},{'CONCEPT_CD':'CUSTOM: STROKE_DIAGNOSE_PRIM'},{'CONCEPT_CD':'CUSTOM: STROKE_BRAIN_SIDE_AFFECTED_PRIM'},{'CONCEPT_CD':'SCTID: 399423000'},{'CONCEPT_CD':'SCTID: 281378008'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_SYMPTOM_ONSET_KNOWN'},{'CONCEPT_CD':'CUSTOM: STROKE_DT_LAST_KNOWN_SYMPTOM_FREE'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_THROMBOLYSIS'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_THROMBECTOMY_SUCCESS'},{'CONCEPT_CD':'CUSTOM: STROKE_TICI_POST_THROMBECTOMY'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_AKUTE_TEA_0_BIS_48H'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_EXTERNE_ZUVERLEGUNG'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_TELEKONSIL_VORHANDEN'},{'CONCEPT_CD':'MOD: 716757008 PLZ'},{'CONCEPT_CD':'CUSTOM: STROKE_REPORT_HISTORY'},{'CONCEPT_CD':'CUSTOM: STROKE_REPORT_PRE_DISEASES'},{'CONCEPT_CD':'CUSTOM: STROKE_REPORT_MEDICATION'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_PRE_STROKE'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_MI'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_HYPERTENSION'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_DIABETES'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_VASCULAR_DISEASES'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_ANTICOAGULATION'},{'CONCEPT_CD':'CUSTOM: STROKE_REPORT_ANTICOAGULATION'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_VHF'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_TAH'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_REPORT_DTAH'},{'CONCEPT_CD':'CUSTOM: STROKE_REPORT_NEUROLOGIC'},{'CONCEPT_CD':'LID: 70184-7'},{'CONCEPT_CD':'LID: 70185-4'},{'CONCEPT_CD':'LID: 70186-2'},{'CONCEPT_CD':'MOD: 70187-0 LEFT'},{'CONCEPT_CD':'MOD: 70187-0 RIGHT'},{'CONCEPT_CD':'MOD: 70188-8 LEFT'},{'CONCEPT_CD':'MOD: 70188-8 RIGHT'},{'CONCEPT_CD':'MOD: 70189-6 LEFT'},{'CONCEPT_CD':'MOD: 70189-6 RIGHT'},{'CONCEPT_CD':'LID: 70190-4'},{'CONCEPT_CD':'LID: 70967-5'},{'CONCEPT_CD':'LID: 70191-2'},{'CONCEPT_CD':'LID: 70968-3'},{'CONCEPT_CD':'MOD: 70192-0 LEFTARM'},{'CONCEPT_CD':'MOD: 70192-0 RIGHTARM'},{'CONCEPT_CD':'MOD: 70192-0 LEFTLEG'},{'CONCEPT_CD':'MOD: 70192-0 RIGHTLEG'},{'CONCEPT_CD':'MOD: 70193-8 LEFT'},{'CONCEPT_CD':'MOD: 70193-8 RIGHT'},{'CONCEPT_CD':'LID: 70194-6'},{'CONCEPT_CD':'LID: 70195-3'},{'CONCEPT_CD':'MOD: 70196-1 LEFT'},{'CONCEPT_CD':'MOD: 70196-1 RIGHT'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_NIHSSKOMPLETT'},{'CONCEPT_CD':'SCTID: 450743008'},{'CONCEPT_CD':'MOD: 72089-6 6HOURS'},{'CONCEPT_CD':'MOD: 72089-6 24HOURS'},{'CONCEPT_CD':'MOD: 72089-6 48HOURS'},{'CONCEPT_CD':'MOD: 72089-6 72HOURS'},{'CONCEPT_CD':'MOD: 72089-6 HOSPITAL_RELEASE'},{'CONCEPT_CD':'MOD: 1255866005 PREMORBID'},{'CONCEPT_CD':'MOD: 1255866005 HOSPITAL_RELEASE'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_OAK_AT_RELEASE'},{'CONCEPT_CD':'CUSTOM: STROKE_IS_AA_AT_RELEASE'},{'CONCEPT_CD':'CUSTOM: MRI_BRAIN_EXISTS'},{'CONCEPT_CD':'CUSTOM: MEG_EXISTS'},{'CONCEPT_CD':'CUSTOM: FMRI_BRAIN_EXISTS'},{'CONCEPT_CD':'MOD: 32485007 HOSPITAL_NAME'},{'CONCEPT_CD':'MOD: 305349003 DISCHARGING_DEPARTMENT'}]};2023-05-31 11:47:00;2023-05-31 11:34:45;2023-03-24 12:54:51;;79190712
VISIT_DIMENSION;LOCATION_CD;UKJ_Neuro;Klinik für Neurologie, Am Klinikum 1, 07747 Jena;;;;2023-01-06 15:27:45;;
SCHEME_CD;SCHEME_CD;biomag_standard;Standard Assessment f. Studie im BIOMAG, @FW;{'title':'biomag_standard','description':'Standarduntersuchungen im BIOMAG, verantwortlich: Brodoehl / Wagner','data':[{'CONCEPT_CD':'LID: 63900-5'},{'CONCEPT_CD':'LID: 46463-6'},{'MODIFIER_CD':'SCTID: 447634004','multiselection':true,'selection':[{'CONCEPT_CD':'ICD10: F06.7'},{'CONCEPT_CD':'ICD10: I11.0'}]}]};;;2023-01-06 15:27:45;;
CONCEPT_DIMENSION;VALTYPE_CD;T;Text;Codierung für normalen Text;;;2023-01-06 15:27:45;;
